date,platform_id,platform_name,followers,posts,impressions,engagements,clicks,revenue
2026-04-18,soc_pinterest,Pinterest,8000,5,14134,743,95,38.71
2026-04-19,soc_twitter,Twitter/X,25000,2,6596,232,41,11.17
2026-04-19,soc_instagram,Instagram,18000,4,9139,729,102,49.29
2026-04-19,soc_youtube,YouTube,12000,4,3664,40,6,1.34
2026-04-19,soc_pinterest,Pinterest,8000,1,1603,67,5,1.09
2026-04-20,soc_twitter,Twitter/X,25000,5,14563,236,18,7.36
2026-04-20,soc_instagram,Instagram,18000,4,19158,1215,141,66.22
2026-04-20,soc_youtube,YouTube,12000,5,12140,430,39,10.28
2026-04-20,soc_pinterest,Pinterest,8000,2,2686,123,17,3.83
2026-04-21,soc_twitter,Twitter/X,25000,4,14708,417,75,27.98
2026-04-21,soc_instagram,Instagram,18000,1,4438,120,20,2.06
2026-04-21,soc_youtube,YouTube,12000,3,5914,295,52,9.84
2026-04-21,soc_pinterest,Pinterest,8000,1,1262,54,7,2.99
2026-04-22,soc_twitter,Twitter/X,25000,2,9826,729,137,55.8
2026-04-22,soc_instagram,Instagram,18000,3,3141,106,14,2.59
2026-04-22,soc_youtube,YouTube,12000,1,1573,19,1,0.29
2026-04-22,soc_pinterest,Pinterest,8000,3,4867,385,63,7.87
2026-04-23,soc_twitter,Twitter/X,25000,4,33100,825,67,7.31
2026-04-23,soc_instagram,Instagram,18000,4,9332,508,31,3.96
2026-04-23,soc_youtube,YouTube,12000,3,9297,386,43,7.98
2026-04-23,soc_pinterest,Pinterest,8000,2,4770,78,14,3.32
2026-04-24,soc_twitter,Twitter/X,25000,2,5487,416,50,15.71
2026-04-24,soc_instagram,Instagram,18000,4,11118,650,70,7.28
2026-04-24,soc_youtube,YouTube,12000,5,6655,403,55,8.68
2026-04-24,soc_pinterest,Pinterest,8000,3,1369,99,18,5.4
2026-04-25,soc_twitter,Twitter/X,25000,4,10720,649,128,61.1
2026-04-25,soc_instagram,Instagram,18000,4,17258,871,48,19.12
2026-04-25,soc_youtube,YouTube,12000,5,12789,665,54,9.93
2026-04-25,soc_pinterest,Pinterest,8000,5,10124,363,37,8.17
2026-04-26,soc_twitter,Twitter/X,25000,1,5186,287,33,8.72
2026-04-26,soc_instagram,Instagram,18000,5,13249,1035,103,48.47
2026-04-26,soc_youtube,YouTube,12000,3,3336,172,22,5.56
2026-04-26,soc_pinterest,Pinterest,8000,4,7593,449,85,39.3
2026-04-27,soc_twitter,Twitter/X,25000,1,5279,91,13,4.5
2026-04-27,soc_instagram,Instagram,18000,4,16492,885,116,41.0
2026-04-27,soc_youtube,YouTube,12000,1,2606,181,14,5.75
2026-04-27,soc_pinterest,Pinterest,8000,1,807,34,2,0.97
2026-04-28,soc_twitter,Twitter/X,25000,4,32287,1780,298,76.98
2026-04-28,soc_instagram,Instagram,18000,2,7487,215,31,6.91
2026-04-28,soc_youtube,YouTube,12000,4,12167,125,23,2.6
2026-04-28,soc_pinterest,Pinterest,8000,3,5061,234,37,8.4
2026-04-29,soc_twitter,Twitter/X,25000,5,32361,871,170,30.1
2026-04-29,soc_instagram,Instagram,18000,1,4766,240,16,5.67
2026-04-29,soc_youtube,YouTube,12000,2,4309,139,10,1.92
2026-04-29,soc_pinterest,Pinterest,8000,2,3053,165,27,11.8
2026-04-30,soc_twitter,Twitter/X,25000,3,20440,431,42,5.77
2026-04-30,soc_instagram,Instagram,18000,1,3022,155,8,3.06
2026-04-30,soc_youtube,YouTube,12000,1,2704,31,4,1.97
2026-04-30,soc_pinterest,Pinterest,8000,3,2444,136,11,1.95
2026-05-01,soc_twitter,Twitter/X,25000,4,27563,1547,141,66.83
2026-05-01,soc_instagram,Instagram,18000,5,25229,448,84,12.52
2026-05-01,soc_youtube,YouTube,12000,3,8440,139,17,4.16
2026-05-01,soc_pinterest,Pinterest,8000,4,2730,179,20,5.89
2026-05-02,soc_twitter,Twitter/X,25000,2,11649,422,40,18.53
2026-05-02,soc_instagram,Instagram,18000,2,5042,369,54,19.03
2026-05-02,soc_youtube,YouTube,12000,1,4028,320,39,13.48
2026-05-02,soc_pinterest,Pinterest,8000,2,2940,81,5,1.71
2026-05-03,soc_twitter,Twitter/X,25000,5,22561,466,83,12.11
2026-05-03,soc_instagram,Instagram,18000,3,4053,64,9,1.36
2026-05-03,soc_youtube,YouTube,12000,2,6292,216,28,6.1
2026-05-03,soc_pinterest,Pinterest,8000,4,5587,425,80,16.0
2026-05-04,soc_twitter,Twitter/X,25000,3,19152,329,55,18.43
2026-05-04,soc_instagram,Instagram,18000,2,8995,397,72,19.4
2026-05-04,soc_youtube,YouTube,12000,3,8138,427,48,15.69
2026-05-04,soc_pinterest,Pinterest,8000,1,1233,89,17,3.42
2026-05-05,soc_twitter,Twitter/X,25000,5,30926,1705,332,79.98
2026-05-05,soc_instagram,Instagram,18000,2,7373,295,22,4.36
2026-05-05,soc_youtube,YouTube,12000,3,4561,294,20,4.55
2026-05-05,soc_pinterest,Pinterest,8000,3,1996,99,9,1.74
2026-05-06,soc_twitter,Twitter/X,25000,3,12425,582,38,8.03
2026-05-06,soc_instagram,Instagram,18000,1,3633,200,30,8.22
2026-05-06,soc_youtube,YouTube,12000,2,2681,177,22,10.91
2026-05-06,soc_pinterest,Pinterest,8000,1,1264,65,9,1.75
2026-05-07,soc_twitter,Twitter/X,25000,1,4263,298,59,27.41
2026-05-07,soc_instagram,Instagram,18000,4,3898,184,23,5.4
2026-05-07,soc_youtube,YouTube,12000,4,2856,188,29,6.09
2026-05-07,soc_pinterest,Pinterest,8000,4,2465,158,19,2.26
2026-05-08,soc_twitter,Twitter/X,25000,4,15935,874,163,71.27
2026-05-08,soc_instagram,Instagram,18000,1,1212,16,0,0.0
2026-05-08,soc_youtube,YouTube,12000,4,4753,76,12,5.1
2026-05-08,soc_pinterest,Pinterest,8000,5,13399,1010,182,37.11
2026-05-09,soc_twitter,Twitter/X,25000,1,1726,54,4,1.5
2026-05-09,soc_instagram,Instagram,18000,4,9445,207,14,3.98
2026-05-09,soc_youtube,YouTube,12000,2,4863,350,68,18.04
2026-05-09,soc_pinterest,Pinterest,8000,1,1412,37,4,1.18
2026-05-10,soc_twitter,Twitter/X,25000,4,9711,276,26,3.46
2026-05-10,soc_instagram,Instagram,18000,2,7916,486,39,5.12
2026-05-10,soc_youtube,YouTube,12000,1,1470,83,9,2.29
2026-05-10,soc_pinterest,Pinterest,8000,3,2439,125,16,7.09
2026-05-11,soc_twitter,Twitter/X,25000,3,18809,1050,186,26.46
2026-05-11,soc_instagram,Instagram,18000,3,6735,280,40,7.25
2026-05-11,soc_youtube,YouTube,12000,1,1376,29,2,0.9
2026-05-11,soc_pinterest,Pinterest,8000,2,2800,49,3,0.32
2026-05-12,soc_twitter,Twitter/X,25000,3,4218,237,27,5.57
2026-05-12,soc_instagram,Instagram,18000,1,2920,72,7,1.91
2026-05-12,soc_youtube,YouTube,12000,4,5293,89,13,5.11
2026-05-12,soc_pinterest,Pinterest,8000,3,2264,50,4,1.37
2026-05-13,soc_twitter,Twitter/X,25000,1,5548,306,59,11.08
2026-05-13,soc_instagram,Instagram,18000,1,2864,76,9,1.89
2026-05-13,soc_youtube,YouTube,12000,4,8189,139,22,9.94
2026-05-13,soc_pinterest,Pinterest,8000,2,1346,32,4,1.53
2026-05-14,soc_twitter,Twitter/X,25000,1,1683,76,11,3.2
2026-05-14,soc_instagram,Instagram,18000,2,3072,177,13,3.03
2026-05-14,soc_youtube,YouTube,12000,1,2551,101,5,2.45
2026-05-14,soc_pinterest,Pinterest,8000,2,4053,282,39,19.02
2026-05-15,soc_twitter,Twitter/X,25000,4,27722,1194,67,7.17
2026-05-15,soc_instagram,Instagram,18000,3,14983,700,52,8.25
2026-05-15,soc_youtube,YouTube,12000,3,7567,253,31,7.45
2026-05-15,soc_pinterest,Pinterest,8000,4,3694,155,26,5.73
2026-05-16,soc_twitter,Twitter/X,25000,5,28428,1989,368,124.49
2026-05-16,soc_instagram,Instagram,18000,5,17649,202,39,17.26
2026-05-16,soc_youtube,YouTube,12000,2,3556,43,5,1.89
2026-05-16,soc_pinterest,Pinterest,8000,2,3672,86,16,5.69
2026-05-17,soc_twitter,Twitter/X,25000,5,40746,1688,327,101.62
2026-05-17,soc_instagram,Instagram,18000,3,13309,497,55,27.37
2026-05-17,soc_youtube,YouTube,12000,1,2160,127,22,3.28
2026-05-17,soc_pinterest,Pinterest,8000,5,13061,855,79,38.54
2026-05-18,soc_twitter,Twitter/X,25000,2,8325,170,33,11.53
2026-05-18,soc_instagram,Instagram,18000,3,9881,143,13,3.66
2026-05-18,soc_youtube,YouTube,12000,5,4302,190,9,2.17
2026-05-18,soc_pinterest,Pinterest,8000,1,1023,35,3,1.33
2026-05-19,soc_twitter,Twitter/X,25000,5,11828,189,17,8.47
2026-05-19,soc_instagram,Instagram,18000,5,22108,671,36,17.03
2026-05-19,soc_youtube,YouTube,12000,4,6719,521,33,6.75
2026-05-19,soc_pinterest,Pinterest,8000,3,2062,83,15,6.33
2026-05-20,soc_twitter,Twitter/X,25000,2,4813,188,15,3.33
2026-05-20,soc_instagram,Instagram,18000,4,12336,448,81,22.26
2026-05-20,soc_youtube,YouTube,12000,4,9178,415,63,15.31
2026-05-20,soc_pinterest,Pinterest,8000,4,4674,180,9,2.91
2026-05-21,soc_twitter,Twitter/X,25000,4,8530,169,31,12.85
2026-05-21,soc_instagram,Instagram,18000,3,4560,219,29,6.3
2026-05-21,soc_youtube,YouTube,12000,4,4310,245,29,11.75
2026-05-21,soc_pinterest,Pinterest,8000,1,573,16,3,0.43
2026-05-22,soc_twitter,Twitter/X,25000,3,14893,868,155,23.03
2026-05-22,soc_instagram,Instagram,18000,5,21851,299,24,3.78
2026-05-22,soc_youtube,YouTube,12000,4,4425,321,46,7.45
2026-05-22,soc_pinterest,Pinterest,8000,1,2114,113,9,1.14
2026-05-23,soc_twitter,Twitter/X,25000,1,3874,105,6,0.66
2026-05-23,soc_instagram,Instagram,18000,4,4612,85,9,4.44
2026-05-23,soc_youtube,YouTube,12000,5,7788,411,47,17.07
2026-05-23,soc_pinterest,Pinterest,8000,2,2840,65,11,3.99
2026-05-24,soc_twitter,Twitter/X,25000,5,10863,473,44,6.16
2026-05-24,soc_instagram,Instagram,18000,3,12129,453,70,10.01
2026-05-24,soc_youtube,YouTube,12000,4,4039,120,8,2.05
2026-05-24,soc_pinterest,Pinterest,8000,1,1744,126,18,2.11
2026-05-25,soc_twitter,Twitter/X,25000,2,9708,588,53,26.11
2026-05-25,soc_instagram,Instagram,18000,5,8716,637,82,25.03
2026-05-25,soc_youtube,YouTube,12000,2,2880,173,17,6.56
2026-05-25,soc_pinterest,Pinterest,8000,3,6587,369,69,8.78
2026-05-26,soc_twitter,Twitter/X,25000,4,16369,704,104,34.36
2026-05-26,soc_instagram,Instagram,18000,5,12099,711,98,32.56
2026-05-26,soc_youtube,YouTube,12000,4,3319,40,6,1.16
2026-05-26,soc_pinterest,Pinterest,8000,4,9673,419,68,33.49
2026-05-27,soc_twitter,Twitter/X,25000,2,4289,307,48,12.17
2026-05-27,soc_instagram,Instagram,18000,1,1401,38,2,0.8
2026-05-27,soc_youtube,YouTube,12000,3,7089,488,92,21.02
2026-05-27,soc_pinterest,Pinterest,8000,4,2877,157,20,3.57
2026-05-28,soc_twitter,Twitter/X,25000,3,7949,492,56,17.44
2026-05-28,soc_instagram,Instagram,18000,1,3927,212,31,5.62
2026-05-28,soc_youtube,YouTube,12000,1,1886,72,9,1.16
2026-05-28,soc_pinterest,Pinterest,8000,5,6085,415,56,16.21
2026-05-29,soc_twitter,Twitter/X,25000,5,32334,2254,383,105.54
2026-05-29,soc_instagram,Instagram,18000,1,3634,68,8,1.12
2026-05-29,soc_youtube,YouTube,12000,1,2403,79,6,2.86
2026-05-29,soc_pinterest,Pinterest,8000,3,4140,145,26,4.24
2026-05-30,soc_twitter,Twitter/X,25000,5,22175,1546,293,87.91
2026-05-30,soc_instagram,Instagram,18000,1,3221,233,32,15.19
2026-05-30,soc_youtube,YouTube,12000,1,831,32,2,0.91
2026-05-30,soc_pinterest,Pinterest,8000,2,2461,151,28,10.23
2026-05-31,soc_twitter,Twitter/X,25000,2,9981,662,89,30.62
2026-05-31,soc_instagram,Instagram,18000,1,2785,41,4,1.58
2026-05-31,soc_youtube,YouTube,12000,5,11930,227,35,4.96
2026-05-31,soc_pinterest,Pinterest,8000,2,3396,136,12,5.28
2026-06-01,soc_twitter,Twitter/X,25000,1,8403,99,16,2.86
2026-06-01,soc_instagram,Instagram,18000,4,16561,1021,135,16.32
2026-06-01,soc_youtube,YouTube,12000,2,4179,166,11,3.03
2026-06-01,soc_pinterest,Pinterest,8000,3,3836,130,24,4.69
2026-06-02,soc_twitter,Twitter/X,25000,1,2233,139,25,10.43
2026-06-02,soc_instagram,Instagram,18000,1,4961,136,7,0.86
2026-06-02,soc_youtube,YouTube,12000,3,2139,73,10,1.98
2026-06-02,soc_pinterest,Pinterest,8000,5,5481,307,45,5.87
2026-06-03,soc_twitter,Twitter/X,25000,2,10209,627,64,29.83
2026-06-03,soc_instagram,Instagram,18000,3,13685,884,83,30.0
2026-06-03,soc_youtube,YouTube,12000,3,4719,226,14,3.34
2026-06-03,soc_pinterest,Pinterest,8000,5,6617,102,19,8.29
2026-06-04,soc_twitter,Twitter/X,25000,3,17809,440,46,19.62
2026-06-04,soc_instagram,Instagram,18000,2,6927,384,45,6.56
2026-06-04,soc_youtube,YouTube,12000,1,1410,72,6,2.92
2026-06-04,soc_pinterest,Pinterest,8000,5,4810,54,5,1.39
2026-06-05,soc_twitter,Twitter/X,25000,4,8551,343,19,4.22
2026-06-05,soc_instagram,Instagram,18000,3,15607,1150,187,43.85
2026-06-05,soc_youtube,YouTube,12000,3,10285,528,86,20.33
2026-06-05,soc_pinterest,Pinterest,8000,4,9648,625,118,47.31
2026-06-06,soc_twitter,Twitter/X,25000,5,20638,1248,189,83.8
2026-06-06,soc_instagram,Instagram,18000,4,13196,796,131,26.73
2026-06-06,soc_youtube,YouTube,12000,4,13436,1004,70,7.43
2026-06-06,soc_pinterest,Pinterest,8000,3,1918,52,6,1.41
2026-06-07,soc_twitter,Twitter/X,25000,5,14196,409,35,12.64
2026-06-07,soc_instagram,Instagram,18000,1,1617,80,7,1.44
2026-06-07,soc_youtube,YouTube,12000,4,2272,24,1,0.24
2026-06-07,soc_pinterest,Pinterest,8000,5,4408,62,11,2.32
2026-06-08,soc_twitter,Twitter/X,25000,3,22578,921,81,33.59
2026-06-08,soc_instagram,Instagram,18000,4,5323,288,20,6.94
2026-06-08,soc_youtube,YouTube,12000,1,2101,48,6,1.66
2026-06-08,soc_pinterest,Pinterest,8000,5,8503,121,19,3.87
2026-06-09,soc_twitter,Twitter/X,25000,3,12536,164,13,1.87
2026-06-09,soc_instagram,Instagram,18000,1,3208,85,8,1.99
2026-06-09,soc_youtube,YouTube,12000,4,3677,146,13,1.43
2026-06-09,soc_pinterest,Pinterest,8000,3,3347,129,19,5.48
2026-06-10,soc_twitter,Twitter/X,25000,5,8591,307,28,4.48
2026-06-10,soc_instagram,Instagram,18000,1,3773,251,31,12.78
2026-06-10,soc_youtube,YouTube,12000,5,13737,1041,111,36.97
2026-06-10,soc_pinterest,Pinterest,8000,2,2470,197,12,1.57
2026-06-11,soc_twitter,Twitter/X,25000,2,11234,897,129,50.77
2026-06-11,soc_instagram,Instagram,18000,1,4787,224,12,3.47
2026-06-11,soc_youtube,YouTube,12000,4,6263,148,20,9.29
2026-06-11,soc_pinterest,Pinterest,8000,3,2408,77,15,5.66
2026-06-12,soc_twitter,Twitter/X,25000,4,13738,475,59,27.49
2026-06-12,soc_instagram,Instagram,18000,5,10276,668,56,24.14
2026-06-12,soc_youtube,YouTube,12000,5,7973,587,88,32.24
2026-06-12,soc_pinterest,Pinterest,8000,3,3386,61,6,1.81
2026-06-13,soc_twitter,Twitter/X,25000,4,17888,1146,211,95.07
2026-06-13,soc_instagram,Instagram,18000,1,2244,142,22,6.33
2026-06-13,soc_youtube,YouTube,12000,1,2606,30,2,0.26
2026-06-13,soc_pinterest,Pinterest,8000,5,11252,824,84,21.92
2026-06-14,soc_twitter,Twitter/X,25000,3,6118,445,82,27.6
2026-06-14,soc_instagram,Instagram,18000,1,1289,95,18,8.36
2026-06-14,soc_youtube,YouTube,12000,4,6178,268,18,3.12
2026-06-14,soc_pinterest,Pinterest,8000,5,3139,228,31,7.69
2026-06-15,soc_twitter,Twitter/X,25000,4,13788,308,48,10.16
2026-06-15,soc_instagram,Instagram,18000,2,4964,168,22,10.1
2026-06-15,soc_youtube,YouTube,12000,4,6009,221,36,17.33
2026-06-15,soc_pinterest,Pinterest,8000,2,2060,60,10,2.26
2026-06-16,soc_twitter,Twitter/X,25000,2,3738,109,12,5.45
2026-06-16,soc_instagram,Instagram,18000,3,14691,921,173,63.42
2026-06-16,soc_youtube,YouTube,12000,2,3864,176,13,4.41
2026-06-16,soc_pinterest,Pinterest,8000,5,6020,142,17,7.29
2026-06-17,soc_twitter,Twitter/X,25000,3,20291,1014,162,49.95
2026-06-17,soc_instagram,Instagram,18000,3,17091,1027,192,28.41
2026-06-17,soc_youtube,YouTube,12000,4,6421,452,89,34.95
2026-06-17,soc_pinterest,Pinterest,8000,3,5098,316,26,3.37
2026-06-18,soc_twitter,Twitter/X,25000,3,7701,416,52,21.36
2026-06-18,soc_instagram,Instagram,18000,3,15965,202,13,4.97
2026-06-18,soc_youtube,YouTube,12000,2,6301,354,64,7.31
2026-06-18,soc_pinterest,Pinterest,8000,1,939,47,8,1.5
2026-06-19,soc_twitter,Twitter/X,25000,4,7716,516,82,17.47
2026-06-19,soc_instagram,Instagram,18000,1,4554,318,51,5.17
2026-06-19,soc_youtube,YouTube,12000,5,10061,600,33,12.38
2026-06-19,soc_pinterest,Pinterest,8000,5,4544,156,20,9.63
2026-06-20,soc_twitter,Twitter/X,25000,2,15469,877,108,38.02
2026-06-20,soc_instagram,Instagram,18000,5,15921,266,17,7.69
2026-06-20,soc_youtube,YouTube,12000,3,6145,253,22,5.94
2026-06-20,soc_pinterest,Pinterest,8000,3,4494,154,16,2.42
2026-06-21,soc_twitter,Twitter/X,25000,4,23087,1341,72,14.92
2026-06-21,soc_instagram,Instagram,18000,4,4159,266,23,5.22
2026-06-21,soc_youtube,YouTube,12000,4,7176,202,11,3.24
2026-06-21,soc_pinterest,Pinterest,8000,1,902,34,4,0.67
2026-06-22,soc_twitter,Twitter/X,25000,1,6331,335,33,11.29
2026-06-22,soc_instagram,Instagram,18000,1,3644,59,9,4.18
2026-06-22,soc_youtube,YouTube,12000,5,4373,58,4,1.26
2026-06-22,soc_pinterest,Pinterest,8000,5,7111,428,40,6.58
2026-06-23,soc_twitter,Twitter/X,25000,4,9866,605,115,13.16
2026-06-23,soc_instagram,Instagram,18000,5,5499,208,25,4.07
2026-06-23,soc_youtube,YouTube,12000,2,4593,267,14,5.6
2026-06-23,soc_pinterest,Pinterest,8000,4,7698,147,23,4.78
2026-06-24,soc_twitter,Twitter/X,25000,1,3672,217,34,3.67
2026-06-24,soc_instagram,Instagram,18000,5,19867,409,65,27.11
2026-06-24,soc_youtube,YouTube,12000,5,13946,905,102,40.53
2026-06-24,soc_pinterest,Pinterest,8000,4,2966,84,12,3.46
2026-06-25,soc_twitter,Twitter/X,25000,1,2418,92,8,1.71
2026-06-25,soc_instagram,Instagram,18000,5,10815,121,15,3.86
2026-06-25,soc_youtube,YouTube,12000,5,13020,542,74,8.14
2026-06-25,soc_pinterest,Pinterest,8000,4,5053,249,36,8.39
2026-06-26,soc_twitter,Twitter/X,25000,1,2074,45,8,2.37
2026-06-26,soc_instagram,Instagram,18000,2,4885,335,43,18.74
2026-06-26,soc_youtube,YouTube,12000,1,3204,88,8,1.88
2026-06-26,soc_pinterest,Pinterest,8000,3,4588,238,43,8.91
2026-06-27,soc_twitter,Twitter/X,25000,5,27468,1323,128,46.18
2026-06-27,soc_instagram,Instagram,18000,4,11943,837,166,22.01
2026-06-27,soc_youtube,YouTube,12000,1,1454,91,6,2.4
2026-06-27,soc_pinterest,Pinterest,8000,4,7415,133,24,7.15
2026-06-28,soc_twitter,Twitter/X,25000,5,22558,1408,185,48.06
2026-06-28,soc_instagram,Instagram,18000,4,19773,1194,217,45.23
2026-06-28,soc_youtube,YouTube,12000,3,6385,138,12,4.49
2026-06-28,soc_pinterest,Pinterest,8000,3,4839,133,15,7.12
2026-06-29,soc_twitter,Twitter/X,25000,2,5330,320,38,8.63
2026-06-29,soc_instagram,Instagram,18000,4,4190,328,31,5.43
2026-06-29,soc_youtube,YouTube,12000,5,10645,177,25,8.44
2026-06-29,soc_pinterest,Pinterest,8000,5,8956,305,15,2.66
2026-06-30,soc_twitter,Twitter/X,25000,4,17918,562,80,20.9
2026-06-30,soc_instagram,Instagram,18000,5,17078,412,57,8.05
2026-06-30,soc_youtube,YouTube,12000,2,2462,42,7,2.34
2026-06-30,soc_pinterest,Pinterest,8000,3,5149,359,50,24.33
2026-07-01,soc_twitter,Twitter/X,25000,5,29716,1281,96,39.68
2026-07-01,soc_instagram,Instagram,18000,1,6077,322,23,6.67
2026-07-01,soc_youtube,YouTube,12000,1,2630,35,4,1.1
2026-07-01,soc_pinterest,Pinterest,8000,3,3214,203,17,4.37
2026-07-02,soc_twitter,Twitter/X,25000,4,15395,1057,103,13.52
2026-07-02,soc_instagram,Instagram,18000,2,10836,825,144,55.37
2026-07-02,soc_youtube,YouTube,12000,5,10933,641,56,8.29
2026-07-02,soc_pinterest,Pinterest,8000,3,2630,185,32,13.07
