date,list_id,list_name,subscribers,open_rate,click_rate,unsub_rate,revenue
2026-04-24,list_004,VIP Buyers,3000,0.25,0.0415,0.0032,152.71
2026-04-25,list_001,Weekly Deals,15000,0.2,0.0757,0.0032,1227.47
2026-04-25,list_002,Product Launches,8000,0.262,0.0759,0.0044,487.77
2026-04-25,list_003,Newsletter Digest,22000,0.256,0.0302,0.0014,1180.96
2026-04-25,list_004,VIP Buyers,3000,0.182,0.037,0.0045,156.01
2026-04-26,list_001,Weekly Deals,15000,0.302,0.0856,0.0018,2510.48
2026-04-26,list_002,Product Launches,8000,0.185,0.0661,0.0033,1054.16
2026-04-26,list_003,Newsletter Digest,22000,0.326,0.0599,0.004,2114.1
2026-04-26,list_004,VIP Buyers,3000,0.199,0.0545,0.0042,226.88
2026-04-27,list_001,Weekly Deals,15000,0.237,0.0241,0.0044,202.47
2026-04-27,list_002,Product Launches,8000,0.301,0.0331,0.0031,322.77
2026-04-27,list_003,Newsletter Digest,22000,0.342,0.0806,0.0021,2372.06
2026-04-27,list_004,VIP Buyers,3000,0.253,0.0974,0.0013,275.74
2026-04-28,list_001,Weekly Deals,15000,0.176,0.0429,0.0023,1000.61
2026-04-28,list_002,Product Launches,8000,0.332,0.0356,0.0031,472.13
2026-04-28,list_003,Newsletter Digest,22000,0.257,0.0866,0.0028,2279.46
2026-04-28,list_004,VIP Buyers,3000,0.335,0.0406,0.0048,121.72
2026-04-29,list_001,Weekly Deals,15000,0.202,0.0365,0.0041,719.22
2026-04-29,list_002,Product Launches,8000,0.335,0.0416,0.0049,533.69
2026-04-29,list_003,Newsletter Digest,22000,0.294,0.0889,0.0039,1303.44
2026-04-29,list_004,VIP Buyers,3000,0.263,0.0551,0.0016,221.2
2026-04-30,list_001,Weekly Deals,15000,0.254,0.041,0.0043,527.64
2026-04-30,list_002,Product Launches,8000,0.217,0.0828,0.0029,1284.17
2026-04-30,list_003,Newsletter Digest,22000,0.273,0.0458,0.0022,907.88
2026-04-30,list_004,VIP Buyers,3000,0.217,0.0258,0.0025,95.15
2026-05-01,list_001,Weekly Deals,15000,0.176,0.0551,0.0037,1073.86
2026-05-01,list_002,Product Launches,8000,0.257,0.0874,0.0045,1197.87
2026-05-01,list_003,Newsletter Digest,22000,0.185,0.068,0.0032,927.9
2026-05-01,list_004,VIP Buyers,3000,0.232,0.0898,0.0016,246.21
2026-05-02,list_001,Weekly Deals,15000,0.264,0.0957,0.0033,2068.43
2026-05-02,list_002,Product Launches,8000,0.323,0.0848,0.0014,692.0
2026-05-02,list_003,Newsletter Digest,22000,0.274,0.0514,0.0012,2044.14
2026-05-02,list_004,VIP Buyers,3000,0.312,0.0915,0.0024,278.39
2026-05-03,list_001,Weekly Deals,15000,0.225,0.0626,0.004,1655.33
2026-05-03,list_002,Product Launches,8000,0.207,0.0289,0.0041,175.16
2026-05-03,list_003,Newsletter Digest,22000,0.229,0.0896,0.0038,1125.51
2026-05-03,list_004,VIP Buyers,3000,0.231,0.0346,0.0045,162.73
2026-05-04,list_001,Weekly Deals,15000,0.322,0.1133,0.0035,2548.46
2026-05-04,list_002,Product Launches,8000,0.177,0.0199,0.002,109.8
2026-05-04,list_003,Newsletter Digest,22000,0.173,0.0465,0.0011,997.85
2026-05-04,list_004,VIP Buyers,3000,0.214,0.0561,0.0016,160.28
2026-05-05,list_001,Weekly Deals,15000,0.26,0.065,0.0018,1157.38
2026-05-05,list_002,Product Launches,8000,0.143,0.046,0.0046,366.87
2026-05-05,list_003,Newsletter Digest,22000,0.26,0.0486,0.0051,2107.43
2026-05-05,list_004,VIP Buyers,3000,0.183,0.0493,0.0047,172.03
2026-05-06,list_001,Weekly Deals,15000,0.313,0.1158,0.0016,2304.03
2026-05-06,list_002,Product Launches,8000,0.217,0.0764,0.0026,390.39
2026-05-06,list_003,Newsletter Digest,22000,0.241,0.0663,0.0016,2776.44
2026-05-06,list_004,VIP Buyers,3000,0.144,0.0377,0.0026,170.48
2026-05-07,list_001,Weekly Deals,15000,0.221,0.035,0.002,739.0
2026-05-07,list_002,Product Launches,8000,0.376,0.0783,0.0018,1115.43
2026-05-07,list_003,Newsletter Digest,22000,0.216,0.04,0.0023,1730.33
2026-05-07,list_004,VIP Buyers,3000,0.186,0.0592,0.0031,353.23
2026-05-08,list_001,Weekly Deals,15000,0.227,0.0776,0.0053,1322.01
2026-05-08,list_002,Product Launches,8000,0.199,0.055,0.0015,357.14
2026-05-08,list_003,Newsletter Digest,22000,0.321,0.1271,0.0013,5425.03
2026-05-08,list_004,VIP Buyers,3000,0.181,0.0403,0.005,135.62
2026-05-09,list_001,Weekly Deals,15000,0.297,0.097,0.0016,1133.46
2026-05-09,list_002,Product Launches,8000,0.252,0.0284,0.0042,398.03
2026-05-09,list_003,Newsletter Digest,22000,0.246,0.0588,0.001,651.55
2026-05-09,list_004,VIP Buyers,3000,0.317,0.111,0.0027,493.08
2026-05-10,list_001,Weekly Deals,15000,0.261,0.0646,0.0042,840.24
2026-05-10,list_002,Product Launches,8000,0.182,0.0725,0.0011,938.64
2026-05-10,list_003,Newsletter Digest,22000,0.27,0.0973,0.0036,2598.82
2026-05-10,list_004,VIP Buyers,3000,0.184,0.0467,0.0035,247.69
2026-05-11,list_001,Weekly Deals,15000,0.145,0.0284,0.0041,299.58
2026-05-11,list_002,Product Launches,8000,0.184,0.0416,0.0042,344.11
2026-05-11,list_003,Newsletter Digest,22000,0.24,0.0914,0.0029,3317.14
2026-05-11,list_004,VIP Buyers,3000,0.153,0.0498,0.0029,270.21
2026-05-12,list_001,Weekly Deals,15000,0.315,0.06,0.0041,1379.27
2026-05-12,list_002,Product Launches,8000,0.234,0.0812,0.0009,829.71
2026-05-12,list_003,Newsletter Digest,22000,0.238,0.0481,0.0045,691.67
2026-05-12,list_004,VIP Buyers,3000,0.174,0.0272,0.0041,115.88
2026-05-13,list_001,Weekly Deals,15000,0.28,0.0727,0.0035,1782.38
2026-05-13,list_002,Product Launches,8000,0.214,0.0263,0.0038,396.63
2026-05-13,list_003,Newsletter Digest,22000,0.211,0.0441,0.0042,1779.92
2026-05-13,list_004,VIP Buyers,3000,0.312,0.0632,0.004,102.98
2026-05-14,list_001,Weekly Deals,15000,0.213,0.0761,0.0017,958.7
2026-05-14,list_002,Product Launches,8000,0.156,0.0193,0.0033,258.78
2026-05-14,list_003,Newsletter Digest,22000,0.266,0.087,0.001,1266.54
2026-05-14,list_004,VIP Buyers,3000,0.275,0.0324,0.0016,85.49
2026-05-15,list_001,Weekly Deals,15000,0.247,0.0806,0.0036,2273.1
2026-05-15,list_002,Product Launches,8000,0.301,0.0468,0.0022,238.18
2026-05-15,list_003,Newsletter Digest,22000,0.373,0.1435,0.0026,2338.82
2026-05-15,list_004,VIP Buyers,3000,0.296,0.0511,0.0033,99.44
2026-05-16,list_001,Weekly Deals,15000,0.156,0.0258,0.0018,357.12
2026-05-16,list_002,Product Launches,8000,0.288,0.1129,0.0016,741.55
2026-05-16,list_003,Newsletter Digest,22000,0.292,0.0613,0.0034,1563.7
2026-05-16,list_004,VIP Buyers,3000,0.212,0.0438,0.0029,107.93
2026-05-17,list_001,Weekly Deals,15000,0.158,0.0625,0.0014,623.88
2026-05-17,list_002,Product Launches,8000,0.269,0.0838,0.0029,376.04
2026-05-17,list_003,Newsletter Digest,22000,0.164,0.0304,0.0032,647.41
2026-05-17,list_004,VIP Buyers,3000,0.273,0.0727,0.0025,388.88
2026-05-18,list_001,Weekly Deals,15000,0.149,0.0525,0.0026,1195.97
2026-05-18,list_002,Product Launches,8000,0.316,0.0782,0.0013,723.87
2026-05-18,list_003,Newsletter Digest,22000,0.175,0.025,0.0027,762.21
2026-05-18,list_004,VIP Buyers,3000,0.295,0.116,0.0011,683.06
2026-05-19,list_001,Weekly Deals,15000,0.256,0.1017,0.0014,2680.55
2026-05-19,list_002,Product Launches,8000,0.22,0.0691,0.0036,502.75
2026-05-19,list_003,Newsletter Digest,22000,0.303,0.0667,0.0032,2061.33
2026-05-19,list_004,VIP Buyers,3000,0.24,0.0441,0.004,87.59
2026-05-20,list_001,Weekly Deals,15000,0.231,0.0666,0.0014,648.76
2026-05-20,list_002,Product Launches,8000,0.142,0.0431,0.0042,370.3
2026-05-20,list_003,Newsletter Digest,22000,0.19,0.0545,0.0015,737.12
2026-05-20,list_004,VIP Buyers,3000,0.326,0.1101,0.0019,493.18
2026-05-21,list_001,Weekly Deals,15000,0.202,0.041,0.0044,811.76
2026-05-21,list_002,Product Launches,8000,0.178,0.0408,0.0053,351.03
2026-05-21,list_003,Newsletter Digest,22000,0.213,0.0507,0.0011,1489.06
2026-05-21,list_004,VIP Buyers,3000,0.233,0.0727,0.0033,153.05
2026-05-22,list_001,Weekly Deals,15000,0.264,0.0351,0.0039,784.55
2026-05-22,list_002,Product Launches,8000,0.279,0.0677,0.0047,682.43
2026-05-22,list_003,Newsletter Digest,22000,0.241,0.0943,0.0034,2135.07
2026-05-22,list_004,VIP Buyers,3000,0.245,0.0266,0.0013,140.08
2026-05-23,list_001,Weekly Deals,15000,0.285,0.0308,0.0044,467.49
2026-05-23,list_002,Product Launches,8000,0.193,0.04,0.0021,477.4
2026-05-23,list_003,Newsletter Digest,22000,0.258,0.0717,0.0043,943.68
2026-05-23,list_004,VIP Buyers,3000,0.205,0.0217,0.0022,77.56
2026-05-24,list_001,Weekly Deals,15000,0.292,0.1082,0.0023,2505.81
2026-05-24,list_002,Product Launches,8000,0.356,0.0759,0.0026,825.07
2026-05-24,list_003,Newsletter Digest,22000,0.186,0.0563,0.0026,1553.39
2026-05-24,list_004,VIP Buyers,3000,0.235,0.0668,0.0026,231.26
2026-05-25,list_001,Weekly Deals,15000,0.319,0.1072,0.0044,2096.43
2026-05-25,list_002,Product Launches,8000,0.149,0.0594,0.0024,398.61
2026-05-25,list_003,Newsletter Digest,22000,0.181,0.0639,0.0015,1413.19
2026-05-25,list_004,VIP Buyers,3000,0.27,0.0655,0.0016,332.77
2026-05-26,list_001,Weekly Deals,15000,0.22,0.0751,0.0029,1475.63
2026-05-26,list_002,Product Launches,8000,0.21,0.0604,0.0026,794.94
2026-05-26,list_003,Newsletter Digest,22000,0.139,0.0432,0.004,1297.55
2026-05-26,list_004,VIP Buyers,3000,0.313,0.101,0.0026,577.44
2026-05-27,list_001,Weekly Deals,15000,0.276,0.0913,0.0028,1847.69
2026-05-27,list_002,Product Launches,8000,0.264,0.0553,0.0017,321.05
2026-05-27,list_003,Newsletter Digest,22000,0.222,0.0512,0.0024,1965.93
2026-05-27,list_004,VIP Buyers,3000,0.166,0.0371,0.0037,163.51
2026-05-28,list_001,Weekly Deals,15000,0.251,0.0557,0.0013,658.27
2026-05-28,list_002,Product Launches,8000,0.291,0.0696,0.003,642.66
2026-05-28,list_003,Newsletter Digest,22000,0.164,0.0242,0.0016,472.56
2026-05-28,list_004,VIP Buyers,3000,0.307,0.0469,0.0048,273.76
2026-05-29,list_001,Weekly Deals,15000,0.153,0.0548,0.0013,1152.77
2026-05-29,list_002,Product Launches,8000,0.366,0.0813,0.0027,966.59
2026-05-29,list_003,Newsletter Digest,22000,0.297,0.0942,0.0014,1384.15
2026-05-29,list_004,VIP Buyers,3000,0.36,0.0924,0.0046,533.47
2026-05-30,list_001,Weekly Deals,15000,0.226,0.0826,0.0022,846.75
2026-05-30,list_002,Product Launches,8000,0.236,0.065,0.0028,843.73
2026-05-30,list_003,Newsletter Digest,22000,0.216,0.0309,0.0016,1328.93
2026-05-30,list_004,VIP Buyers,3000,0.197,0.0545,0.0029,173.65
2026-05-31,list_001,Weekly Deals,15000,0.242,0.055,0.0042,1604.6
2026-05-31,list_002,Product Launches,8000,0.376,0.0785,0.0043,1087.73
2026-05-31,list_003,Newsletter Digest,22000,0.294,0.0828,0.0037,2720.26
2026-05-31,list_004,VIP Buyers,3000,0.326,0.1097,0.0022,437.4
2026-06-01,list_001,Weekly Deals,15000,0.322,0.0673,0.004,689.57
2026-06-01,list_002,Product Launches,8000,0.357,0.0773,0.0051,673.72
2026-06-01,list_003,Newsletter Digest,22000,0.23,0.0292,0.0049,548.09
2026-06-01,list_004,VIP Buyers,3000,0.3,0.1124,0.0032,613.43
2026-06-02,list_001,Weekly Deals,15000,0.25,0.0275,0.0048,715.6
2026-06-02,list_002,Product Launches,8000,0.276,0.0618,0.0049,779.21
2026-06-02,list_003,Newsletter Digest,22000,0.35,0.1216,0.0042,3369.42
2026-06-02,list_004,VIP Buyers,3000,0.258,0.0888,0.0038,314.32
2026-06-03,list_001,Weekly Deals,15000,0.138,0.0404,0.003,1022.04
2026-06-03,list_002,Product Launches,8000,0.205,0.0591,0.002,294.72
2026-06-03,list_003,Newsletter Digest,22000,0.227,0.0887,0.0039,3209.55
2026-06-03,list_004,VIP Buyers,3000,0.317,0.1071,0.0025,391.2
2026-06-04,list_001,Weekly Deals,15000,0.216,0.0661,0.0046,1684.85
2026-06-04,list_002,Product Launches,8000,0.212,0.0328,0.0041,503.06
2026-06-04,list_003,Newsletter Digest,22000,0.217,0.0834,0.0052,2698.37
2026-06-04,list_004,VIP Buyers,3000,0.344,0.1349,0.0019,628.05
2026-06-05,list_001,Weekly Deals,15000,0.207,0.0473,0.0018,449.53
2026-06-05,list_002,Product Launches,8000,0.326,0.0441,0.0037,406.69
2026-06-05,list_003,Newsletter Digest,22000,0.271,0.0819,0.0017,2829.45
2026-06-05,list_004,VIP Buyers,3000,0.292,0.0977,0.002,363.81
2026-06-06,list_001,Weekly Deals,15000,0.286,0.0801,0.0044,1110.73
2026-06-06,list_002,Product Launches,8000,0.246,0.0547,0.0017,409.28
2026-06-06,list_003,Newsletter Digest,22000,0.254,0.0945,0.0023,3173.39
2026-06-06,list_004,VIP Buyers,3000,0.15,0.021,0.0023,96.99
2026-06-07,list_001,Weekly Deals,15000,0.309,0.0966,0.0042,1281.41
2026-06-07,list_002,Product Launches,8000,0.142,0.0284,0.0017,423.12
2026-06-07,list_003,Newsletter Digest,22000,0.388,0.1514,0.0039,5403.77
2026-06-07,list_004,VIP Buyers,3000,0.173,0.0495,0.0019,162.17
2026-06-08,list_001,Weekly Deals,15000,0.33,0.0884,0.0032,1180.72
2026-06-08,list_002,Product Launches,8000,0.336,0.1221,0.0015,953.33
2026-06-08,list_003,Newsletter Digest,22000,0.18,0.0243,0.0012,369.84
2026-06-08,list_004,VIP Buyers,3000,0.352,0.1142,0.0052,316.7
2026-06-09,list_001,Weekly Deals,15000,0.303,0.0995,0.0023,1447.0
2026-06-09,list_002,Product Launches,8000,0.238,0.0948,0.0045,551.28
2026-06-09,list_003,Newsletter Digest,22000,0.311,0.1056,0.0013,1679.51
2026-06-09,list_004,VIP Buyers,3000,0.144,0.0256,0.0035,88.68
2026-06-10,list_001,Weekly Deals,15000,0.385,0.0432,0.0028,1013.18
2026-06-10,list_002,Product Launches,8000,0.247,0.0874,0.0044,479.29
2026-06-10,list_003,Newsletter Digest,22000,0.284,0.0438,0.0015,1217.13
2026-06-10,list_004,VIP Buyers,3000,0.306,0.0844,0.0031,495.62
2026-06-11,list_001,Weekly Deals,15000,0.266,0.0598,0.0013,1482.18
2026-06-11,list_002,Product Launches,8000,0.345,0.0372,0.0039,452.64
2026-06-11,list_003,Newsletter Digest,22000,0.26,0.1002,0.0042,1610.67
2026-06-11,list_004,VIP Buyers,3000,0.276,0.0822,0.0025,476.63
2026-06-12,list_001,Weekly Deals,15000,0.155,0.0606,0.0037,1751.05
2026-06-12,list_002,Product Launches,8000,0.281,0.09,0.0046,974.69
2026-06-12,list_003,Newsletter Digest,22000,0.146,0.0428,0.0021,549.24
2026-06-12,list_004,VIP Buyers,3000,0.297,0.0637,0.0023,146.58
2026-06-13,list_001,Weekly Deals,15000,0.368,0.0466,0.005,520.34
2026-06-13,list_002,Product Launches,8000,0.224,0.073,0.0039,397.65
2026-06-13,list_003,Newsletter Digest,22000,0.236,0.0807,0.0022,2711.82
2026-06-13,list_004,VIP Buyers,3000,0.252,0.0881,0.0027,326.26
2026-06-14,list_001,Weekly Deals,15000,0.274,0.0737,0.003,1807.2
2026-06-14,list_002,Product Launches,8000,0.298,0.0686,0.003,307.69
2026-06-14,list_003,Newsletter Digest,22000,0.231,0.0386,0.0036,622.13
2026-06-14,list_004,VIP Buyers,3000,0.276,0.071,0.0022,246.24
2026-06-15,list_001,Weekly Deals,15000,0.276,0.0399,0.0017,1109.83
2026-06-15,list_002,Product Launches,8000,0.281,0.053,0.0013,260.67
2026-06-15,list_003,Newsletter Digest,22000,0.148,0.0337,0.0012,1105.64
2026-06-15,list_004,VIP Buyers,3000,0.205,0.0362,0.0014,136.31
2026-06-16,list_001,Weekly Deals,15000,0.25,0.0385,0.0015,629.15
2026-06-16,list_002,Product Launches,8000,0.285,0.0539,0.0029,509.89
2026-06-16,list_003,Newsletter Digest,22000,0.289,0.0519,0.0051,2063.25
2026-06-16,list_004,VIP Buyers,3000,0.169,0.0548,0.0031,297.14
2026-06-17,list_001,Weekly Deals,15000,0.227,0.0231,0.0013,262.51
2026-06-17,list_002,Product Launches,8000,0.286,0.1031,0.0048,1157.06
2026-06-17,list_003,Newsletter Digest,22000,0.273,0.1071,0.0024,3559.52
2026-06-17,list_004,VIP Buyers,3000,0.242,0.0462,0.0016,72.18
2026-06-18,list_001,Weekly Deals,15000,0.135,0.0528,0.0039,644.56
2026-06-18,list_002,Product Launches,8000,0.292,0.0674,0.0037,908.56
2026-06-18,list_003,Newsletter Digest,22000,0.191,0.0457,0.0026,535.6
2026-06-18,list_004,VIP Buyers,3000,0.162,0.0503,0.0044,182.17
2026-06-19,list_001,Weekly Deals,15000,0.296,0.0475,0.0036,1247.41
2026-06-19,list_002,Product Launches,8000,0.131,0.0379,0.0033,597.07
2026-06-19,list_003,Newsletter Digest,22000,0.329,0.0917,0.0036,1888.61
2026-06-19,list_004,VIP Buyers,3000,0.246,0.0682,0.0034,310.58
2026-06-20,list_001,Weekly Deals,15000,0.271,0.0852,0.0034,1447.98
2026-06-20,list_002,Product Launches,8000,0.154,0.0567,0.0025,548.86
2026-06-20,list_003,Newsletter Digest,22000,0.337,0.0688,0.0038,804.04
2026-06-20,list_004,VIP Buyers,3000,0.176,0.0358,0.0018,89.09
2026-06-21,list_001,Weekly Deals,15000,0.245,0.0688,0.0049,1532.97
2026-06-21,list_002,Product Launches,8000,0.186,0.0583,0.0043,816.02
2026-06-21,list_003,Newsletter Digest,22000,0.312,0.1057,0.0044,4108.51
2026-06-21,list_004,VIP Buyers,3000,0.214,0.0695,0.0038,144.62
2026-06-22,list_001,Weekly Deals,15000,0.247,0.0322,0.0024,961.48
2026-06-22,list_002,Product Launches,8000,0.181,0.0207,0.001,301.62
2026-06-22,list_003,Newsletter Digest,22000,0.174,0.0606,0.0044,730.53
2026-06-22,list_004,VIP Buyers,3000,0.205,0.0585,0.0013,146.74
2026-06-23,list_001,Weekly Deals,15000,0.202,0.0417,0.0011,1136.26
2026-06-23,list_002,Product Launches,8000,0.168,0.0516,0.0028,620.95
2026-06-23,list_003,Newsletter Digest,22000,0.356,0.0824,0.003,3194.87
2026-06-23,list_004,VIP Buyers,3000,0.151,0.0428,0.0036,246.67
2026-06-24,list_001,Weekly Deals,15000,0.174,0.0229,0.0039,620.47
2026-06-24,list_002,Product Launches,8000,0.204,0.0383,0.0031,385.71
2026-06-24,list_003,Newsletter Digest,22000,0.182,0.0535,0.0025,831.74
2026-06-24,list_004,VIP Buyers,3000,0.263,0.0591,0.0045,153.89
2026-06-25,list_001,Weekly Deals,15000,0.239,0.0601,0.0015,954.38
2026-06-25,list_002,Product Launches,8000,0.239,0.0716,0.0017,933.81
2026-06-25,list_003,Newsletter Digest,22000,0.191,0.065,0.0026,1592.97
2026-06-25,list_004,VIP Buyers,3000,0.317,0.1073,0.0024,175.32
2026-06-26,list_001,Weekly Deals,15000,0.136,0.0465,0.0043,437.45
2026-06-26,list_002,Product Launches,8000,0.327,0.0488,0.0012,639.78
2026-06-26,list_003,Newsletter Digest,22000,0.292,0.1083,0.0013,3448.6
2026-06-26,list_004,VIP Buyers,3000,0.3,0.0768,0.0023,254.13
2026-06-27,list_001,Weekly Deals,15000,0.275,0.0526,0.0042,1470.57
2026-06-27,list_002,Product Launches,8000,0.176,0.0455,0.004,564.36
2026-06-27,list_003,Newsletter Digest,22000,0.188,0.0495,0.0041,1609.6
2026-06-27,list_004,VIP Buyers,3000,0.347,0.1161,0.0028,277.23
2026-06-28,list_001,Weekly Deals,15000,0.148,0.0297,0.0037,717.29
2026-06-28,list_002,Product Launches,8000,0.309,0.0572,0.0012,607.55
2026-06-28,list_003,Newsletter Digest,22000,0.303,0.0448,0.0011,1670.49
2026-06-28,list_004,VIP Buyers,3000,0.204,0.0678,0.004,402.82
2026-06-29,list_001,Weekly Deals,15000,0.143,0.0303,0.0031,468.91
2026-06-29,list_002,Product Launches,8000,0.242,0.0333,0.0019,427.65
2026-06-29,list_003,Newsletter Digest,22000,0.342,0.1168,0.0049,3464.84
2026-06-29,list_004,VIP Buyers,3000,0.308,0.0801,0.0038,246.43
2026-06-30,list_001,Weekly Deals,15000,0.287,0.0902,0.0035,2126.28
